苞	〔艹巳¦zt〕
悖	〔忄子¦na〕
啵	〔口又¦ol〕
粑	〔米巴¦lt〕
缤	〔纟八¦ef〕
饽	〔负子¦ga〕
谤	〔讠方¦cf〕
笆	〔竹巴¦nt〕
褓	〔衤木¦hw〕
濞	〔氵竖ᵖ¦kp〕
浜	〔氵八¦kf〕
犇	〔牛牛¦bb〕
枹	〔木巳¦wt〕
傧	〔亻八¦xf〕
钯	〔钅巴¦dt〕
岜	〔山巴¦pt〕
弁	〔厶竖ᵖ¦pp〕
髌	〔骨八¦cf〕
畚	〔厶田¦pw〕
蒡	〔艹方¦zf〕
甏	〔士捺ᴴ¦gh〕
袯	〔衤捺ᴴ¦hh〕
俵	〔亻捺ᴴ¦xh〕
别	〔口刂¦oi〕
塝	〔土方¦gf〕
宾	〔宀八¦if〕
崩	〔山月¦pl〕
抃	〔扌捺ᴴ¦jh〕
本	〔木横ᴰ¦wd〕
瀌	〔氵灬¦kn〕
玢	〔王刀¦ai〕
琫	〔王竖ᵖ¦ap〕
琲	〔王三¦au〕
畀	〔田竖ᵖ¦wp〕
祊	〔礻方¦hf〕
蔀	〔艹阝¦zb〕
表	〔龶捺ᴴ¦ah〕
飚	〔风火¦it〕
飑	〔风巳¦it〕
鲅	〔鱼捺ᴴ¦qh〕
扁	〔户心¦qj〕
鳊	〔鱼心¦qj〕
鲃	〔鱼巴¦qt〕
㞎	〔尸巴¦qt〕
鲾	〔鱼田¦qw〕
鲌	〔鱼白¦qs〕
蹦	〔足月¦gl〕
耙	〔二巴¦ut〕
玤	〔王丰¦aa〕
並	〔丷横ᴰ¦fd〕
屄	〔尸八¦qf〕
亳	〔亠七¦ia〕
菠	〔艹又¦zl〕
薄	〔艹寸¦zk〕
豳	〔山捺ᴴ¦ph〕
醭	〔西夫¦pe〕
梐	〔木土¦wg〕
抦	〔扌人¦je〕
猋	〔犬犬¦bb〕
噃	〔口田¦ow〕
揼	〔扌水¦jo〕
仌	〔人人¦ee〕
坒	〔比土¦ag〕
毕	〔比十¦as〕
毙	〔比死¦af〕
甭	〔横ᴰ竖ᵖ¦dp〕
觱	〔厂竖ᵖ¦rp〕
秉	〔千八¦sf〕
璧	〔尸玉¦qa〕
鞴	〔廿竖ᵖ¦vp〕
擘	〔尸竖ᵖ¦qp〕
拜	〔撇ᵁ边¦ua〕
篦	〔竹匕¦na〕
擦	〔扌八¦jf〕
曹	〔横ᴰ日¦dv〕
糙	〔米辶¦lq〕
莪	〔艹捺ᴴ¦zh〕
菿	〔艹刂¦zi〕
草	〔艹十¦zs〕
艹	〔艹艹¦zz〕
踩	〔足木¦gw〕
彩	〔爫撇ᵁ¦hu〕
财	〔贝撇ᵁ¦mu〕
才	〔十撇ᵁ¦su〕
