# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	7312
#@/user_id	tsbu-jdh
a;bj;ek;tz;ek; 	阿	c=2 d=2.40745e-06 t=7312
chang;rr;ap;xc;ap; 	厂	c=1 d=5.51845e-07 t=7312
chang;uh;pd;pc;pn; 	长	c=2 d=0.00176517 t=7312
chang;uh;pd;pc;pn; chu;jh;wb;hy;wb; 	长处	c=2 d=4.20554e-06 t=7312
chang;uh;pd;pc;pn; dui;be;er;tj;er; 	长队	c=2 d=1.37775e-06 t=7312
chang;uh;pd;pc;pn; fa;rh;ay,fd,vy,yd;si;vd; 	长发	c=4 d=5.19786e-06 t=7312
chang;uh;pd;pc;pn; he;kj;dk;kz;dk; 	长河	c=2 d=2.6284e-06 t=7312
chang;uh;pd;pc;pn; jing;rm;yg;rw;vr; lu;ra;gb,lb;xl;gb; 	长颈鹿	c=1 d=2.95331e-05 t=7312
chang;uh;pd;pc;pn; tu;eq;zy;ju;zh; 	长途	c=1 d=0.0497871 t=7312
chang;uh;pd;pc;pn; yuan;uq;zy;mu;ze; 	长远	c=1 d=0.0300468 t=7312
chao;ju;fu;ut;fu; 	抄	c=2 d=0.000698485 t=7312
chao;kl;di;kv;do; 	潮	c=1 d=2.44859e-06 t=7312
chao;kl;di;kv;do; shi;kd;dx;kc;dy; 	潮湿	c=1 d=1.3041e-06 t=7312
chao;ou;ku;dt;ku; jia;uw;mj;se;lm; 	吵架	c=1 d=2.51707e-07 t=7312
chao;qo;zv;pd;tk; 	超	c=1 d=6.47596e-07 t=7312
chao;sl;ou,uo;nv;uo; dai;xa;ry;jp;ry; 	朝代	c=2 d=0.000158167 t=7312
chao;sl;ou,uo;nv;uo; ting;sq,uq;zr;tu;zr; 	朝廷	c=1 d=7.5227e-05 t=7312
che;kj;dw;kh;dw; 	澈	c=2 d=0.467666 t=7312
che;tt;aa;yc;al; 	车	c=1 d=6.03813e-07 t=7312
che;tt;aa;yc;al; men;oo;dg;am;dv; 	车门	c=1 d=0.0746459 t=7312
che;tt;aa;yc;al; piao;pf;xu;vf;xx; 	车票	c=1 d=0.0495388 t=7312
che;tt;aa;yc;al; shang;pd,pu;aa,ba;yf;la; 	车上	c=2 d=0.142628 t=7312
che;tt;aa;yc;al; sun;jm;fy;uo;fr; 	车损	c=2 d=4.45586e-06 t=7312
che;tt;aa;yc;al; xiang;rs;ix;xq;io; 	车厢	c=8 d=0.491673 t=7312
che;tt;aa;yc;al; zhan;bo;lv;id;lk; 	车站	c=1 d=1.56911e-06 t=7312
chen;ki;dj,dr;ko;dj; 	沉	c=1 d=0.00381048 t=7312
chen;ki;dj,dr;ko;dj; jin;kl;dy;kr;dy; 	沉浸	c=2 d=2.06613e-06 t=7312
chen;ki;dj,dr;ko;dj; lun;ka;dl;kj;db; 	沉沦	c=1 d=3.88878e-07 t=7312
chen;ki;dj,dr;ko;dj; mo;nb;hq;pm;hq; 	沉默	c=1 d=2.07614e-06 t=7312
chen;ki;dj,dr;ko;dj; zhong;sg;pa,ql;ld;pa; 	沉重	c=1 d=1.45573e-06 t=7312
chen;ki;dj,dr;ko;dj; zhuo;fs;yo;gq;yo; 	沉着	c=1 d=1.39866e-06 t=7312
chen;ki;dj,dr;ko;dj; zui;ps;yz;yn;yu; 	沉醉	c=1 d=2.83066e-06 t=7312
chen;pg;tx,xt;yg;xt; 	尘	c=4 d=0.85919 t=7312
chen;pg;tx,xt;yg;xt; shi;vr;ca,cv,aa;la;av; 	尘世	c=1 d=3.4059e-06 t=7312
chen;qu;zp;pe;tp; 	趁	c=2 d=0.00240607 t=7312
chen;qu;zp;pe;tp; ci;ra;vb;sv;vb; 	趁此	c=1 d=0.00138785 t=7312
chen;uf;he;xy;hx; 	称	c=4 d=5.69392e-05 t=7312
